"sep=	"
Shimmer_D349_TimestampSync_Unix_CAL	Shimmer_D349_Accel_LN_X_CAL	Shimmer_D349_Accel_LN_Y_CAL	Shimmer_D349_Accel_LN_Z_CAL	Shimmer_D349_Battery_CAL	Shimmer_D349_Ext_Exp_A7_CAL	Shimmer_D349_GSR_Range_CAL	Shimmer_D349_GSR_Skin_Conductance_CAL	Shimmer_D349_GSR_Skin_Resistance_CAL	Shimmer_D349_Mag_X_CAL	Shimmer_D349_Mag_Y_CAL	Shimmer_D349_Mag_Z_CAL	Shimmer_D349_Pressure_BMP280_CAL	Shimmer_D349_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	no_units	uS	kOhms	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1.698504087090449E12	6.728260869565217	0.5434782608695652	9.826086956521738	3660.07326007326	1723.8095238095236	3.0	0.06815406815406817	14672.638436482079	-0.12893553223388304	0.10494752623688156	-0.7481259370314842	99.68531004308127	28.772695046762237	
1.6985040871099822E12	6.717391304347826	0.5217391304347826	9.717391304347826	3661.5384615384614	1726.7399267399267	3.0	0.06815406815406817	14672.638436482079	-0.12893553223388304	0.11394302848575712	-0.7466266866566716	99.6826087832423	28.772695046762237	
1.6985040871295151E12	6.706521739130435	0.5434782608695652	9.804347826086957	3661.5384615384614	1728.2051282051282	3.0	0.06815406815406817	14672.638436482079	-0.13493253373313344	0.10194902548725637	-0.7586206896551724	99.6826087832423	28.772695046762237	
1.698504087149048E12	6.728260869565217	0.5760869565217391	9.76086956521739	3655.6776556776554	1721.6117216117216	3.0	0.06859806859806863	14577.669902912616	-0.12443778110944527	0.11394302848575712	-0.7571214392803598	99.67990752591643	28.772695046762237	
1.698504087168581E12	6.739130434782608	0.5978260869565217	9.793478260869565	3664.468864468864	1726.007326007326	3.0	0.06859806859806863	14577.669902912616	-0.136431784107946	0.11094452773613193	-0.7571214392803598	99.68531004308127	28.772695046762237	
1.698504087188114E12	6.717391304347826	0.5978260869565217	9.76086956521739	3661.5384615384614	1727.4725274725274	3.0	0.06859806859806863	14577.669902912616	-0.12443778110944527	0.09295352323838081	-0.767616191904048	99.6826087832423	28.772695046762237	
1.698504087207647E12	6.706521739130435	0.5978260869565217	9.782608695652174	3649.8168498168498	1714.2857142857142	3.0	0.06859806859806863	14577.669902912616	-0.12893553223388304	0.10494752623688156	-0.7511244377811094	99.68801130543336	28.772695046762237	
1.69850408722718E12	6.695652173913043	0.6195652173913043	9.804347826086957	3664.468864468864	1723.0769230769229	3.0	0.06815406815406817	14672.638436482079	-0.12293853073463268	0.10194902548725637	-0.7586206896551724	99.67990752591643	28.772695046762237	
1.698504087246713E12	6.684782608695652	0.6086956521739131	9.804347826086957	3661.5384615384614	1726.007326007326	3.0	0.06859806859806863	14577.669902912616	-0.12293853073463268	0.11244377811094453	-0.7496251874062968	99.6772062711037	28.772695046762237	
1.6985040872662458E12	6.717391304347826	0.5978260869565217	9.793478260869565	3654.212454212454	1715.7509157509157	3.0	0.06859806859806863	14577.669902912616	-0.13043478260869565	0.09895052473763118	-0.7541229385307346	99.6772062711037	28.772695046762237	
1.6985040872857788E12	6.684782608695652	0.5543478260869565	9.83695652173913	3670.32967032967	1730.4029304029302	3.0	0.06859806859806863	14577.669902912616	-0.12443778110944527	0.10194902548725637	-0.7661169415292354	99.68531004308127	28.772695046762237	
